,Station,Features,Iteration,Persistence_Performance,Model_Performance
65,Seattle Washington,GHI_Harmonics_Weather,2,121.79087557340085,93.94928038154526
66,Hanford California,GHI_Only,2,83.97310389651767,82.37947396602783
67,Hanford California,GHI_Harmonics,2,83.97310389651767,72.83660918336084
68,Hanford California,GHI_Harmonics_Weather,2,83.97310389651767,72.84065971789568
69,Salt Lake City Utah,GHI_Only,2,130.50249959483472,102.14394971310874
70,Salt Lake City Utah,GHI_Harmonics,2,130.50249959483472,101.72360494059046
71,Salt Lake City Utah,GHI_Harmonics_Weather,2,130.50249959483472,97.31444446790165
72,Table Mountain Boulder CO,GHI_Only,2,135.914752545711,107.14871997684305
73,Table Mountain Boulder CO,GHI_Harmonics,2,135.914752545711,106.2162479417792
74,Table Mountain Boulder CO,GHI_Harmonics_Weather,2,135.914752545711,106.32786758678182
75,Goodwin Creek MS,GHI_Only,2,151.48053461722208,120.73981457623593
76,Goodwin Creek MS,GHI_Harmonics,2,151.48053461722208,130.74666693784536
77,Goodwin Creek MS,GHI_Harmonics_Weather,2,151.48053461722208,113.73265705206147
78,Bondville IL,GHI_Only,2,147.95893128363653,116.05632600754896
79,Bondville IL,GHI_Harmonics,2,147.95893128363653,140.17055880596894
80,Bondville IL,GHI_Harmonics_Weather,2,147.95893128363653,115.4361348836952
81,Titusville FL,GHI_Only,2,130.59364148935123,101.49398346017601
82,Titusville FL,GHI_Harmonics,2,130.59364148935123,101.25310392958284
83,Titusville FL,GHI_Harmonics_Weather,2,130.59364148935123,102.57935781204733
84,Sterling Virginia,GHI_Only,2,153.40868464738878,115.12033405313028
85,Sterling Virginia,GHI_Harmonics,2,153.40868464738878,115.47498348881115
86,Sterling Virginia,GHI_Harmonics_Weather,2,153.40868464738878,117.7470762586818
87,Millbrook NY,GHI_Only,2,145.58513607999345,109.10098367718756
88,Millbrook NY,GHI_Harmonics,2,145.58513607999345,109.84655293997244
89,Millbrook NY,GHI_Harmonics_Weather,2,145.58513607999345,110.62946584629486
90,Natural Energy Laboratory of Hawaii Authority,GHI_Only,3,120.56930830830022,101.92693445287739
91,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,3,120.56930830830022,123.97950484548706
92,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,3,120.56930830830022,94.91960662453253
93,Seattle Washington,GHI_Only,3,121.79087557340085,95.02816949200157
94,Seattle Washington,GHI_Harmonics,3,121.79087557340085,94.92369317004433
95,Seattle Washington,GHI_Harmonics_Weather,3,121.79087557340085,105.47239155830877
96,Hanford California,GHI_Only,3,83.97310389651767,76.34211734476632
97,Hanford California,GHI_Harmonics,3,83.97310389651767,104.94530783052373
98,Hanford California,GHI_Harmonics_Weather,3,83.97310389651767,72.2009866042406
99,Salt Lake City Utah,GHI_Only,3,130.50249959483472,103.66638853217307
100,Salt Lake City Utah,GHI_Harmonics,3,130.50249959483472,100.71518558415895
101,Salt Lake City Utah,GHI_Harmonics_Weather,3,130.50249959483472,100.0290372126214
102,Table Mountain Boulder CO,GHI_Only,3,135.914752545711,109.21082093912774
103,Table Mountain Boulder CO,GHI_Harmonics,3,135.914752545711,106.43805938012284
104,Table Mountain Boulder CO,GHI_Harmonics_Weather,3,135.914752545711,105.16791905719435
105,Goodwin Creek MS,GHI_Only,3,151.48053461722208,122.51406773213817
106,Goodwin Creek MS,GHI_Harmonics,3,151.48053461722208,115.43599947056731
107,Goodwin Creek MS,GHI_Harmonics_Weather,3,151.48053461722208,114.3561045741184
108,Bondville IL,GHI_Only,3,147.95893128363653,115.7690184912483
109,Bondville IL,GHI_Harmonics,3,147.95893128363653,116.04736281897756
110,Bondville IL,GHI_Harmonics_Weather,3,147.95893128363653,111.87588859468975
111,Titusville FL,GHI_Only,3,130.59364148935123,102.12927928121736
112,Titusville FL,GHI_Harmonics,3,130.59364148935123,100.08350744466622
113,Titusville FL,GHI_Harmonics_Weather,3,130.59364148935123,100.18420468733338
114,Sterling Virginia,GHI_Only,3,153.40868464738878,114.24322016257881
115,Sterling Virginia,GHI_Harmonics,3,153.40868464738878,113.8177760030064
116,Sterling Virginia,GHI_Harmonics_Weather,3,153.40868464738878,130.72547312776715
117,Millbrook NY,GHI_Only,3,145.58513607999345,108.29883403453837
118,Millbrook NY,GHI_Harmonics,3,145.58513607999345,108.8223696389321
119,Millbrook NY,GHI_Harmonics_Weather,3,145.58513607999345,110.27988208443364
120,Natural Energy Laboratory of Hawaii Authority,GHI_Only,4,120.56930830830022,95.6951246781653
121,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,4,120.56930830830022,123.62906532524394
122,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,4,120.56930830830022,94.02011992263843
123,Seattle Washington,GHI_Only,4,121.79087557340085,93.32106336831187
124,Seattle Washington,GHI_Harmonics,4,121.79087557340085,94.7410569234428
125,Seattle Washington,GHI_Harmonics_Weather,4,121.79087557340085,92.67948914698667
126,Hanford California,GHI_Only,4,83.97310389651767,72.48902331541397
127,Hanford California,GHI_Harmonics,4,83.97310389651767,73.62013052029089
128,Hanford California,GHI_Harmonics_Weather,4,83.97310389651767,71.46721921397086
129,Salt Lake City Utah,GHI_Only,4,130.50249959483472,102.61924162953673
130,Salt Lake City Utah,GHI_Harmonics,4,130.50249959483472,102.04420170404615
131,Salt Lake City Utah,GHI_Harmonics_Weather,4,130.50249959483472,99.9582431746654
132,Table Mountain Boulder CO,GHI_Only,4,135.914752545711,107.85855157600885
133,Table Mountain Boulder CO,GHI_Harmonics,4,135.914752545711,107.25047730088426
134,Table Mountain Boulder CO,GHI_Harmonics_Weather,4,135.914752545711,107.78258211549243
135,Goodwin Creek MS,GHI_Only,4,151.48053461722208,121.41336176709706
136,Goodwin Creek MS,GHI_Harmonics,4,151.48053461722208,117.09913068507538
137,Goodwin Creek MS,GHI_Harmonics_Weather,4,151.48053461722208,116.52089204794049
138,Bondville IL,GHI_Only,4,147.95893128363653,116.20243444449927
139,Bondville IL,GHI_Harmonics,4,147.95893128363653,113.94362329659651
140,Bondville IL,GHI_Harmonics_Weather,4,147.95893128363653,114.85659827521252
141,Titusville FL,GHI_Only,4,130.59364148935123,101.95841882620344
142,Titusville FL,GHI_Harmonics,4,130.59364148935123,99.33493762030601
143,Titusville FL,GHI_Harmonics_Weather,4,130.59364148935123,100.14447033136926
144,Sterling Virginia,GHI_Only,4,153.40868464738878,116.27461495372243
145,Sterling Virginia,GHI_Harmonics,4,153.40868464738878,113.87032266334248
146,Sterling Virginia,GHI_Harmonics_Weather,4,153.40868464738878,116.2131551182677
147,Millbrook NY,GHI_Only,4,145.58513607999345,112.453061216466
148,Millbrook NY,GHI_Harmonics,4,145.58513607999345,109.97391507984509
149,Millbrook NY,GHI_Harmonics_Weather,4,145.58513607999345,132.8160970725854
