timestamp,ghi,air_temperature,wind_speed,relative_humidity
2018-01-01 06:00:00+00:00,0.0,23.771166666666666,2.7327333333333335,58.263333333333335
2018-01-01 07:00:00+00:00,0.0,23.351499999999998,2.5239333333333334,56.52816666666667
2018-01-01 08:00:00+00:00,0.0,22.58,2.61,57.8
2018-01-01 09:00:00+00:00,0.0,,,
2018-01-01 10:00:00+00:00,0.0,20.458000000000002,1.7928666666666666,74.48016666666666
2018-01-01 11:00:00+00:00,0.0,20.2885,1.2593333333333334,74.56116666666667
2018-01-01 12:00:00+00:00,0.0,19.638166666666667,1.2584000000000002,77.25666666666666
2018-01-01 13:00:00+00:00,0.0,19.567666666666664,1.77445,76.4035
2018-01-01 14:00:00+00:00,0.0,19.1955,1.7063166666666667,75.69166666666666
2018-01-01 15:00:00+00:00,0.0,18.859333333333332,1.6903166666666667,78.69616666666667
2018-01-01 16:00:00+00:00,0.0,18.7025,1.8471499999999998,81.66416666666667
2018-01-01 17:00:00+00:00,54.6478095,19.594333333333335,1.7491833333333333,78.80166666666668
2018-01-01 18:00:00+00:00,243.27178333333333,23.604166666666668,0.9949166666666667,67.85033333333334
2018-01-01 19:00:00+00:00,453.89661666666666,26.629833333333334,1.2968666666666666,58.65933333333333
2018-01-01 20:00:00+00:00,622.07965,26.699333333333335,2.4762833333333334,59.2815
2018-01-01 21:00:00+00:00,730.829,27.106333333333335,2.7531499999999998,58.93516666666667
2018-01-01 22:00:00+00:00,771.20145,27.455166666666667,2.8341,57.79816666666667
2018-01-01 23:00:00+00:00,733.2372333333333,27.7465,3.1706166666666666,55.784
2018-01-02 00:00:00+00:00,626.50265,27.89016666666667,3.0187166666666667,54.067
2018-01-02 01:00:00+00:00,481.4221833333333,27.677500000000002,2.8952833333333334,53.26583333333333
2018-01-02 02:00:00+00:00,239.18604833333333,26.955333333333332,2.5638833333333335,55.442166666666665
2018-01-02 03:00:00+00:00,34.083604816666664,25.088,2.8164333333333333,61.48716666666667
2018-01-02 04:00:00+00:00,0.0,24.316666666666666,2.0877333333333334,64.91333333333334
2018-01-02 05:00:00+00:00,0.0,24.0275,2.3161666666666667,68.03183333333332
2018-01-02 06:00:00+00:00,0.0,23.398333333333333,1.1599666666666666,68.79416666666665
2018-01-02 07:00:00+00:00,0.0,23.647166666666667,0.73935,67.73283333333333
2018-01-02 08:00:00+00:00,0.0,22.914166666666667,0.5887666666666667,70.07549999999999
2018-01-02 09:00:00+00:00,0.0,21.65583333333333,1.13655,74.26366666666667
2018-01-02 10:00:00+00:00,0.0,21.169666666666668,1.2058333333333333,76.19766666666666
2018-01-02 11:00:00+00:00,0.0,20.35533333333333,1.5620333333333332,78.46966666666667
2018-01-02 12:00:00+00:00,0.0,19.937833333333334,1.5203833333333334,79.2075
2018-01-02 13:00:00+00:00,0.0,19.482000000000003,1.2408333333333335,80.199
2018-01-02 14:00:00+00:00,0.0,18.890333333333334,1.61645,82.08500000000001
2018-01-02 15:00:00+00:00,0.0,18.648666666666667,1.8517166666666667,81.89333333333335
2018-01-02 16:00:00+00:00,0.0,18.664166666666667,1.74185,82.25666666666666
2018-01-02 17:00:00+00:00,55.49161616666667,19.416333333333334,1.5571666666666668,79.84566666666666
2018-01-02 18:00:00+00:00,248.78535,23.757166666666667,0.8515,63.19116666666666
2018-01-02 19:00:00+00:00,459.66635,26.966666666666665,0.7291666666666666,47.9225
2018-01-02 20:00:00+00:00,632.6296166666667,27.9725,1.2745333333333333,44.989333333333335
2018-01-02 21:00:00+00:00,736.7086166666667,28.400166666666667,1.5785333333333333,45.475166666666674
2018-01-02 22:00:00+00:00,785.8967,28.55666666666667,2.0418499999999997,45.657666666666664
2018-01-02 23:00:00+00:00,742.9077,27.92983333333333,2.7432000000000003,48.81283333333333
2018-01-03 00:00:00+00:00,612.2235833333333,27.780166666666666,2.0709,49.013333333333335
2018-01-03 01:00:00+00:00,439.30545,28.345333333333333,1.7591166666666667,46.26533333333334
2018-01-03 02:00:00+00:00,178.70318333333336,26.584999999999997,1.2707166666666665,51.36866666666666
2018-01-03 03:00:00+00:00,47.2810051,26.083666666666666,0.6450666666666667,52.0465
2018-01-03 04:00:00+00:00,0.0,24.686666666666667,2.6064166666666666,54.662166666666664
2018-01-03 05:00:00+00:00,0.0,23.3155,1.8779166666666667,59.188
2018-01-03 06:00:00+00:00,0.0,22.6835,2.356333333333333,64.9515
2018-01-03 07:00:00+00:00,0.0,22.1795,2.4054833333333336,63.948166666666665
2018-01-03 08:00:00+00:00,0.0,21.677666666666667,1.93045,66.44816666666667
2018-01-03 09:00:00+00:00,0.0,21.067999999999998,0.8755833333333333,69.66783333333333
2018-01-03 10:00:00+00:00,0.0,20.613666666666667,0.45598333333333335,72.87183333333334
2018-01-03 11:00:00+00:00,0.0,20.114666666666665,1.12145,77.92416666666666
2018-01-03 12:00:00+00:00,0.0,20.0115,1.9669999999999999,80.14883333333334
2018-01-03 13:00:00+00:00,0.0,19.470333333333333,1.5364499999999999,82.54333333333334
2018-01-03 14:00:00+00:00,0.0,19.121166666666667,1.53595,83.675
2018-01-03 15:00:00+00:00,0.0,19.184833333333334,1.8834833333333334,82.38333333333334
2018-01-03 16:00:00+00:00,0.0,18.675166666666666,1.4707833333333333,82.32
2018-01-03 17:00:00+00:00,27.605367166666667,18.481333333333335,0.90635,81.16333333333334
2018-01-03 18:00:00+00:00,233.991355,21.920666666666666,1.8560833333333333,67.91533333333334
2018-01-03 19:00:00+00:00,416.3462,25.811666666666667,2.5292000000000003,52.6575
