timestamp,ghi,dni,dhi,air_temperature,wind_speed
2018-01-01 06:00:00+00:00,0.0,0.4,0.0,-9.133333333333333,3.4699999999999998
2018-01-01 07:00:00+00:00,0.0,0.40166666666666667,0.0,-9.686666666666667,3.6566666666666667
2018-01-01 08:00:00+00:00,0.0,0.4,0.0,-10.08,3.7516666666666665
2018-01-01 09:00:00+00:00,0.0,0.4,0.0,-10.558333333333334,4.02
2018-01-01 10:00:00+00:00,0.0,0.4,0.0,-11.096666666666666,3.3866666666666663
2018-01-01 11:00:00+00:00,0.0,0.4,0.0,-11.395000000000001,3.6866666666666665
2018-01-01 12:00:00+00:00,0.0,0.4,0.305,-11.56,3.08
2018-01-01 13:00:00+00:00,19.533333333333335,47.595,18.573333333333334,-11.563333333333333,2.5933333333333333
2018-01-01 14:00:00+00:00,173.99333333333334,544.3383333333334,84.43333333333334,-10.748333333333333,3.7550000000000003
2018-01-01 15:00:00+00:00,332.2866666666667,754.205,93.88166666666666,-9.778333333333334,4.366666666666666
2018-01-01 16:00:00+00:00,482.1716666666667,927.35,75.43,-8.558333333333334,3.753333333333333
2018-01-01 17:00:00+00:00,561.5783333333333,970.06,73.36333333333333,-7.53,3.996666666666667
2018-01-01 18:00:00+00:00,565.4483333333334,977.205,71.70833333333333,-6.593333333333334,3.908333333333333
2018-01-01 19:00:00+00:00,499.22999999999996,959.7266666666667,67.69333333333333,-5.573333333333333,3.475
2018-01-01 20:00:00+00:00,368.6183333333333,901.385,61.705,-5.4783333333333335,3.8366666666666664
2018-01-01 21:00:00+00:00,205.74666666666664,780.2016666666666,48.809999999999995,-5.625,3.65
2018-01-01 22:00:00+00:00,57.1,367.7933333333333,23.773333333333333,-6.114999999999999,3.0166666666666666
2018-01-01 23:00:00+00:00,0.0,0.44166666666666665,0.8833333333333333,-7.043333333333334,2.3733333333333335
2018-01-02 00:00:00+00:00,0.0,0.4,0.0,-7.573333333333333,2.705
2018-01-02 01:00:00+00:00,0.0,0.40166666666666667,0.0,-8.198333333333334,2.71
2018-01-02 02:00:00+00:00,0.0,0.4,0.0,-8.803333333333335,2.6166666666666667
2018-01-02 03:00:00+00:00,0.0,0.5383333333333334,0.0,-9.305,2.328333333333333
2018-01-02 04:00:00+00:00,0.0,0.6616666666666667,0.0,-10.033333333333333,2.091666666666667
2018-01-02 05:00:00+00:00,0.0,0.7783333333333334,0.0,-10.56,1.9
2018-01-02 06:00:00+00:00,0.0,0.8,0.0,-10.881666666666666,1.7433333333333332
2018-01-02 07:00:00+00:00,0.0,0.8,0.0,-11.471666666666666,1.415
2018-01-02 08:00:00+00:00,0.0,0.8,0.0,-12.006666666666666,1.05
2018-01-02 09:00:00+00:00,0.0,0.9016666666666667,0.0,-12.398333333333333,0.815
2018-01-02 10:00:00+00:00,0.0,0.8300000000000001,0.0,-12.106666666666666,1.3866666666666667
2018-01-02 11:00:00+00:00,0.0,0.8,0.0,-11.74,1.715
2018-01-02 12:00:00+00:00,0.0,0.7366666666666667,0.21833333333333332,-11.591666666666667,2.24
2018-01-02 13:00:00+00:00,37.26166666666666,104.21666666666667,34.876666666666665,-11.295,2.933333333333333
2018-01-02 14:00:00+00:00,123.48,82.94833333333332,115.02166666666668,-10.853333333333333,3.2666666666666666
2018-01-02 15:00:00+00:00,275.99,218.17833333333334,217.69833333333332,-9.604999999999999,2.878333333333333
2018-01-02 16:00:00+00:00,353.44666666666666,181.71166666666667,284.6666666666667,-8.276666666666667,2.7233333333333336
2018-01-02 17:00:00+00:00,407.2683333333333,184.74333333333334,324.48333333333335,-6.989999999999999,2.5933333333333333
2018-01-02 18:00:00+00:00,461.175,417.80833333333334,257.74333333333334,-5.989999999999999,2.315
2018-01-02 19:00:00+00:00,359.2366666666667,216.87,270.57666666666665,-4.926666666666667,2.191666666666667
2018-01-02 20:00:00+00:00,292.835,430.4066666666667,154.04833333333332,-4.321666666666667,2.521666666666667
2018-01-02 21:00:00+00:00,157.12333333333333,217.95166666666668,112.96499999999999,-3.5933333333333333,2.17
2018-01-02 22:00:00+00:00,28.206666666666667,1.03,30.508333333333333,-3.5166666666666666,1.4416666666666667
2018-01-02 23:00:00+00:00,0.0,0.655,0.34833333333333333,-3.94,1.5616666666666668
2018-01-03 00:00:00+00:00,0.0,0.6816666666666668,0.0,-4.430000000000001,1.2366666666666668
2018-01-03 01:00:00+00:00,0.0,0.7400000000000001,0.0,-5.3983333333333325,0.9183333333333333
2018-01-03 02:00:00+00:00,0.0,0.8,0.0,-5.665,1.0933333333333333
2018-01-03 03:00:00+00:00,0.0,0.8166666666666667,0.0,-5.5216666666666665,0.9816666666666667
2018-01-03 04:00:00+00:00,0.0,0.7416666666666667,0.0,-5.510000000000001,1.0516666666666667
2018-01-03 05:00:00+00:00,0.0,0.8,0.0,-5.465000000000001,0.5866666666666667
2018-01-03 06:00:00+00:00,0.0,0.7116666666666667,0.0,-5.71,0.43833333333333335
2018-01-03 07:00:00+00:00,0.0,0.7983333333333333,0.0,-6.725,0.6533333333333334
2018-01-03 08:00:00+00:00,0.0,0.9283333333333333,0.0,-7.375,0.6433333333333333
2018-01-03 09:00:00+00:00,0.0,0.8616666666666667,0.0,-7.376666666666666,1.9400000000000002
2018-01-03 10:00:00+00:00,0.0,0.8,0.0,-7.266666666666667,1.3933333333333333
2018-01-03 11:00:00+00:00,0.0,0.8183333333333334,0.0,-7.323333333333333,1.1133333333333333
2018-01-03 12:00:00+00:00,0.0,0.8300000000000001,0.16333333333333336,-7.72,0.76
