timestamp,ghi,air_temperature,relative_humidity,wind_speed
2018-02-28 21:00:00+00:00,92.41666666666667,13.591666666666667,32.0,1.5508333333333333
2018-02-28 22:00:00+00:00,2.5833333333333335,12.091666666666667,36.916666666666664,1.545
2018-02-28 23:00:00+00:00,0.0,11.691666666666668,39.416666666666664,0.9383333333333334
2018-03-01 00:00:00+00:00,0.0,11.333333333333334,41.5,1.2874999999999999
2018-03-01 01:00:00+00:00,0.0,10.083333333333334,46.333333333333336,1.2866666666666666
2018-03-01 02:00:00+00:00,0.0,8.591666666666667,53.666666666666664,1.3550000000000002
2018-03-01 03:00:00+00:00,0.0,8.508333333333333,53.833333333333336,1.2275
2018-03-01 04:00:00+00:00,0.0,8.733333333333333,55.416666666666664,1.0258333333333334
2018-03-01 05:00:00+00:00,0.0,10.516666666666667,51.25,1.2449999999999999
2018-03-01 06:00:00+00:00,0.0,9.908333333333333,55.416666666666664,0.96
2018-03-01 07:00:00+00:00,0.0,8.241666666666667,61.666666666666664,0.7025
2018-03-01 08:00:00+00:00,0.0,4.758333333333334,72.41666666666667,1.2008333333333334
2018-03-01 09:00:00+00:00,0.0,3.3499999999999996,80.58333333333333,1.4258333333333333
2018-03-01 10:00:00+00:00,0.0,1.9333333333333333,83.41666666666667,0.9358333333333334
2018-03-01 11:00:00+00:00,1.1666666666666667,1.375,85.91666666666667,0.7125
2018-03-01 12:00:00+00:00,62.5,1.8499999999999999,87.0,0.96
2018-03-01 13:00:00+00:00,200.08333333333334,5.608333333333333,81.83333333333333,0.49
2018-03-01 14:00:00+00:00,285.0833333333333,8.708333333333334,69.41666666666667,0.8283333333333333
2018-03-01 15:00:00+00:00,461.75,12.299999999999999,57.166666666666664,1.5091666666666665
2018-03-01 16:00:00+00:00,402.8333333333333,13.483333333333334,45.583333333333336,1.8983333333333334
2018-03-01 17:00:00+00:00,380.0833333333333,13.741666666666667,38.416666666666664,1.5591666666666668
2018-03-01 18:00:00+00:00,247.08333333333334,13.6,34.666666666666664,1.6849999999999998
2018-03-01 19:00:00+00:00,224.91666666666666,13.633333333333333,30.833333333333332,1.5258333333333332
2018-03-01 20:00:00+00:00,98.33333333333333,13.083333333333334,34.25,1.38
2018-03-01 21:00:00+00:00,30.75,11.958333333333334,40.333333333333336,1.0066666666666666
2018-03-01 22:00:00+00:00,0.8333333333333334,10.641666666666667,50.333333333333336,1.0325
2018-03-01 23:00:00+00:00,0.0,9.325000000000001,56.75,0.8108333333333334
2018-03-02 00:00:00+00:00,0.0,8.758333333333333,57.333333333333336,1.3508333333333333
2018-03-02 01:00:00+00:00,0.0,8.025,58.75,1.17
2018-03-02 02:00:00+00:00,0.0,6.908333333333334,64.75,0.7683333333333334
2018-03-02 03:00:00+00:00,0.0,7.2,76.33333333333333,1.3166666666666667
2018-03-02 04:00:00+00:00,0.0,6.658333333333334,76.0,1.9616666666666667
2018-03-02 05:00:00+00:00,0.0,5.5249999999999995,80.08333333333333,2.1941666666666664
2018-03-02 06:00:00+00:00,0.0,4.258333333333334,82.08333333333333,1.7958333333333334
2018-03-02 07:00:00+00:00,0.0,1.8166666666666667,86.25,1.5608333333333333
2018-03-02 08:00:00+00:00,0.0,0.5,89.91666666666667,1.4541666666666666
