,Train RMSE,Validation RMSE
0,120.39175353157206,121.30750355211421
1,115.73219319319804,114.68909657925454
2,101.3442841574782,98.83038528434409
3,101.22585709403593,98.09939350957043
4,99.80100496924436,97.07631476902657
5,99.2478386432508,96.65212765868515
6,98.31354262357061,95.10665321183207
7,98.80998917289857,95.80402875369701
8,98.81988463981227,95.44069316319951
9,97.48191097013249,94.8023642576055
10,97.25553185367717,94.1901900777782
11,97.68750979337779,94.56638324349153
12,96.91961965330499,93.92341827433086
13,96.09128647903964,93.25795979541412
14,96.03574953055218,93.29622262069526
15,97.00873029855097,94.67171565626299
16,95.51629639888901,92.65648829454598
17,95.19740592199048,92.08916258586059
18,96.22585399194318,92.98268426466502
19,96.4883965600118,93.33566403453031
20,95.79383682140873,92.66926786176123
21,94.65474797134196,92.14621450200066
22,94.89814976658404,91.8775558960327
23,94.12357759314857,91.34855742593481
24,94.14508226507147,90.90398951826523
25,94.55983259020465,91.70743213148299
26,94.66671050130685,92.2308537853643
27,95.30272159701,92.41935675712178
28,93.8498601831757,91.20945936635981
29,94.03505201368425,91.65095560363272
30,94.29191622730481,91.81853381422704
31,93.18597790799679,90.88823387952466
32,93.47425671188314,90.87992081177146
33,93.14584118071548,90.7086345615897
34,93.20705695660182,90.63401871339498
35,93.45534108378091,91.11793589947206
36,93.49009994933488,90.69686034874485
37,92.69862796772777,90.25455124098467
38,93.8310656415935,91.92855270439925
39,92.8696384407255,91.69377490403853
40,93.78336379778654,91.97843690675349
41,92.34749368885338,90.59519851823562
42,92.20291623044797,90.36595923270887
43,92.48841938703902,91.44323499777063
44,92.23509698519175,90.50437928371879
45,92.98426803153471,90.72276852591521
46,92.16130986633186,90.41168103793235
47,92.61593453455691,90.33701127146463
48,91.86445577971622,90.606141620003
49,92.2896625953911,90.84562536998885
50,93.20906544218498,91.79353116669056
51,91.6947174609216,90.43799849921336
52,92.10631631396532,90.29002291413899
53,92.28143379067181,90.63177183376831
54,91.65881366287543,90.25077017962218
55,91.99432006040523,90.69642220665634
56,91.97385007266516,90.83969739938432
57,92.67040629249279,91.31056196688938
58,92.21122753927723,90.44583634125517
59,91.86735860352393,91.06219174485466
60,91.62849261843942,90.68934207628818
